"DATE","count"
2017-07-25,32
2017-07-26,33
2017-07-27,35
2017-07-28,22
2017-07-29,14
2017-07-30,33
2017-07-31,24
2017-08-01,13
2017-08-02,15
2017-08-03,22
2017-08-04,34
2017-08-05,22
2017-08-06,35
2017-08-07,42
2017-08-08,38
2017-08-09,43
2017-08-10,28
2017-08-11,22
2017-08-12,22
2017-08-13,36
2017-08-14,50
2017-08-15,36
2017-08-16,37
2017-08-17,29
2017-08-18,26
2017-08-19,23
2017-08-20,28
2017-08-21,32
2017-08-22,34
2017-08-23,44
2017-08-24,31
2017-08-25,26
2017-08-26,19
2017-08-27,29
2017-08-28,38
2017-08-29,29
2017-08-30,36
2017-08-31,32
2017-09-01,27
2017-09-02,13
2017-09-03,17
2017-09-04,35
2017-09-05,52
2017-09-06,15
2017-09-07,37
2017-09-08,38
2017-09-09,20
2017-09-10,37
2017-09-11,34
2017-09-12,35
2017-09-13,31
2017-09-14,21
2017-09-15,13
2017-09-16,15
2017-09-17,27
2017-09-18,28
2017-09-19,25
2017-09-20,41
2017-09-21,33
2017-09-22,22
2017-09-23,22
2017-09-24,20
2017-09-25,34
2017-09-26,31
2017-09-27,28
2017-09-28,31
2017-09-29,19
2017-09-30,21
2017-10-01,21
2017-10-02,29
2017-10-03,22
2017-10-04,36
2017-10-05,30
2017-10-06,28
2017-10-07,18
2017-10-08,20
2017-10-09,25
2017-10-10,32
2017-10-11,37
2017-10-12,28
2017-10-13,21
2017-10-14,21
2017-10-15,36
2017-10-16,31
2017-10-17,30
2017-10-18,38
2017-10-19,28
2017-10-20,34
2017-10-21,30
2017-10-22,44
2017-10-23,27
2017-10-24,31
2017-10-25,22
2017-10-26,24
2017-10-27,38
2017-10-28,36
2017-10-29,38
2017-10-30,24
2017-10-31,38
2017-11-01,25
2017-11-02,31
2017-11-03,31
2017-11-04,28
2017-11-05,24
2017-11-06,24
2017-11-07,20
2017-11-08,37
2017-11-09,18
2017-11-10,30
2017-11-11,36
2017-11-12,38
2017-11-13,34
2017-11-14,25
2017-11-15,30
2017-11-16,14
2017-11-17,16
2017-11-18,28
2017-11-19,32
2017-11-20,26
2017-11-21,34
2017-11-22,23
2017-11-23,23
2017-11-24,25
2017-11-25,32
2017-11-26,25
2017-11-27,37
2017-11-28,35
2017-11-29,31
2017-11-30,31
2017-12-01,27
2017-12-02,24
2017-12-03,22
2017-12-04,47
2017-12-05,41
2017-12-06,28
2017-12-07,28
2017-12-08,42
2017-12-09,26
2017-12-10,17
2017-12-11,38
2017-12-12,25
2017-12-13,23
2017-12-14,25
2017-12-15,31
2017-12-16,16
2017-12-17,21
2017-12-18,18
2017-12-19,23
2017-12-20,18
