"DATE","count"
2018-10-09,98
2018-10-10,94
2018-10-11,84
2018-10-12,91
2018-10-13,56
2018-10-14,59
2018-10-15,100
2018-10-16,77
2018-10-17,86
2018-10-18,91
2018-10-19,79
2018-10-20,69
2018-10-21,79
2018-10-22,78
2018-10-23,78
2018-10-24,89
2018-10-25,83
2018-10-26,84
2018-10-27,63
2018-10-28,61
2018-10-29,120
2018-10-30,78
2018-10-31,83
2018-11-01,110
2018-11-02,96
2018-11-03,62
2018-11-04,87
2018-11-05,94
2018-11-06,78
2018-11-07,104
2018-11-08,84
2018-11-09,93
2018-11-10,55
2018-11-11,81
2018-11-12,93
2018-11-13,97
2018-11-14,66
2018-11-15,78
2018-11-16,87
2018-11-17,67
2018-11-18,66
2018-11-19,93
2018-11-20,85
2018-11-21,55
2018-11-22,101
2018-11-23,70
2018-11-24,63
2018-11-25,53
2018-11-26,92
2018-11-27,60
2018-11-28,80
2018-11-29,68
2018-11-30,74
2018-12-01,75
2018-12-02,64
2018-12-03,97
2018-12-04,78
2018-12-05,68
2018-12-06,75
2018-12-07,74
2018-12-08,67
2018-12-09,62
2018-12-10,77
2018-12-11,75
2018-12-12,85
2018-12-13,79
2018-12-14,85
2018-12-15,66
2018-12-16,67
2018-12-17,81
2018-12-18,71
2018-12-19,89
2018-12-20,78
2018-12-21,83
2018-12-22,70
2018-12-23,67
2018-12-24,50
2018-12-25,33
2018-12-26,58
2018-12-27,79
2018-12-28,51
2018-12-29,48
2018-12-30,55
2018-12-31,51
2019-01-01,44
2019-01-02,58
2019-01-03,62
2019-01-04,61
2019-01-05,56
2019-01-06,57
2019-01-07,62
2019-01-08,82
2019-01-09,64
2019-01-10,72
2019-01-11,63
2019-01-12,56
2019-01-13,50
2019-01-14,81
2019-01-15,68
2019-01-16,81
2019-01-17,68
2019-01-18,64
2019-01-19,60
2019-01-20,37
2019-01-21,50
2019-01-22,59
2019-01-23,44
2019-01-24,55
2019-01-25,48
2019-01-26,43
2019-01-27,35
2019-01-28,81
2019-01-29,54
2019-01-30,54
2019-01-31,70
2019-02-01,59
2019-02-02,49
2019-02-03,50
2019-02-04,68
2019-02-05,67
2019-02-06,68
2019-02-07,78
2019-02-08,89
2019-02-09,64
2019-02-10,77
2019-02-11,60
2019-02-12,85
2019-02-13,58
2019-02-14,62
2019-02-15,63
2019-02-16,47
2019-02-17,71
2019-02-18,63
2019-02-19,71
2019-02-20,75
2019-02-21,59
2019-02-22,79
2019-02-23,66
2019-02-24,68
2019-02-25,70
2019-02-26,61
2019-02-27,74
2019-02-28,53
2019-03-01,48
2019-03-02,58
2019-03-03,60
2019-03-04,72
2019-03-05,63
2019-03-06,67
2019-03-07,56
2019-03-08,74
2019-03-09,69
2019-03-10,34
2019-03-11,58
2019-03-12,68
2019-03-13,91
2019-03-14,79
2019-03-15,93
2019-03-16,55
2019-03-17,63
2019-03-18,71
2019-03-19,74
2019-03-20,85
2019-03-21,87
2019-03-22,76
2019-03-23,80
2019-03-24,70
2019-03-25,86
2019-03-26,76
2019-03-27,68
2019-03-28,78
2019-03-29,91
2019-03-30,59
2019-03-31,70
